DISPCNT write val=0x1040 at scanline=31 cyc=100318169 PC=0x800af46
DISPCNT write val=0x1140 at scanline=36 cyc=100324325 PC=0x800af1c
DISPCNT write val=0x1040 at scanline=39 cyc=100328025 PC=0x800af46
DISPCNT write val=0x1140 at scanline=45 cyc=100335413 PC=0x800af1c
DISPCNT write val=0x1040 at scanline=47 cyc=100337881 PC=0x800af46
DISPCNT write val=0x1140 at scanline=55 cyc=100347733 PC=0x800af1c
DISPCNT write val=0x1040 at scanline=63 cyc=100357586 PC=0x800af46
DISPCNT write val=0x1140 at scanline=64 cyc=100358831 PC=0x800af7a
DISPCNT write val=0x1040 at scanline=71 cyc=100367442 PC=0x800af46
DISPCNT write val=0x1140 at scanline=73 cyc=100369919 PC=0x800af7a
DISPCNT write val=0x1040 at scanline=79 cyc=100377298 PC=0x800af46
DISPCNT write val=0x1140 at scanline=82 cyc=100381007 PC=0x800af7a
DISPCNT write val=0x1040 at scanline=87 cyc=100387154 PC=0x800af46
DISPCNT write val=0x1140 at scanline=91 cyc=100392089 PC=0x800af7a
DISPCNT write val=0x1040 at scanline=95 cyc=100397017 PC=0x800af46
DISPCNT write val=0x1140 at scanline=100 cyc=100403177 PC=0x800af7a
DISPCNT write val=0x1040 at scanline=103 cyc=100406873 PC=0x800af46
DISPCNT write val=0x1140 at scanline=109 cyc=100414265 PC=0x800af7a
DISPCNT write val=0x1040 at scanline=111 cyc=100416729 PC=0x800af46
DISPCNT write val=0x1140 at scanline=119 cyc=100426585 PC=0x800af7a
DISPCNT write val=0x1040 at scanline=127 cyc=100436438 PC=0x800af46
DISPCNT write val=0x1140 at scanline=129 cyc=100438911 PC=0x800af1c
DISPCNT write val=0x1040 at scanline=136 cyc=100447526 PC=0x800af46
DISPCNT write val=0x1140 at scanline=138 cyc=100449999 PC=0x800af1c
DISPCNT write val=0x1040 at scanline=144 cyc=100457382 PC=0x800af46
DISPCNT write val=0x1140 at scanline=145 cyc=100458626 PC=0x800af7a
DISPCNT write val=0x1040 at scanline=152 cyc=100467238 PC=0x800af46
DISPCNT write val=0x1140 at scanline=154 cyc=100469714 PC=0x800af7a
DISPCNT write val=0x1040 at scanline=7 cyc=100569487 PC=0x800af46
DISPCNT write val=0x1140 at scanline=9 cyc=100571953 PC=0x800af1c
DISPCNT write val=0x1040 at scanline=15 cyc=100579343 PC=0x800af46
